,FCLTY_NM,ITEM_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,TEL_NO,COURSE_NM,x,y
5325,딜라이트 유스스포츠센터,기타종목,제주,서귀포시,제주특별자치도 서귀포시 안덕면 화순중앙로 47-1,"1층, 딜라이트 유스스포츠센터",,[주말반] 주짓수,126.3359558,33.24790313
5326,훼미리볼링센터,볼링,충남,태안군,충청남도 태안군 태안읍 독샘로 100,2층 훼미리볼링센터,416740300,스포츠강좌(볼링),126.2990643,36.75546674
5327,충의멀티짐,합기도,인천,부평구,인천광역시 부평구 장제로 220,(부평동 3층),325033582,합기도 킥복싱,126.7313762,37.50511697
5328,VIP주니어센터,수영,충남,서산시,충남 서산시 석남동,40-4번지,,주3회 수영,126.4534626,36.76393822
5329,같이운동 까치산,종합체육시설,서울,강서구,서울특별시 강서구 곰달래로 135,3층 같이운동 까치산(화곡동),,같이운동 소그룹 PT,126.8479217,37.53076476
5330,체력단련장,헬스,전북,전주시,전라북도 전주시 완산구 효천천변길 20,"4충 402,403호(효자동2가, 더퍼스트빌딩)(효자동2가)",632211196,퍼스트 클래스 효천점 헬스,127.1024788,35.80218667
5331,노형점핑클럽,기타종목,제주,제주시,제주특별자치도 제주시 노형로 353,5증 노형점핑클럽(노형동),,점핑&amp;체온다이어트,126.4740446,33.48254308
5332,올림피아스포츠클럽,기타종목,강원,원주시,강원도 원주시 지니기길 82,올림피아스포츠클럽(무실동),337632252,음악줄넘기,127.9207046,37.32095512
5333,사운드짐매교점,헬스,경기,수원시,경기도 수원시 팔달구 인계로68번길 6,우이암빌딩 2층 사운드짐매교점(인계동),315484123,강력다이어트필수반,127.0248295,37.26872023
5334,오케이피트니스 서면점2,헬스,부산,부산진구,부산광역시 부산진구 새싹로 30,"3층 오케이피트니스서면점(부전동, 경동파크타워)",7042040215,헬스1개월,129.0573249,35.16059305
5335,수영구국민체육센터,수영,부산,수영구,부산광역시 수영구 수영로521번길 77,수영구국민체육센터(광안동),517112340,어린이수영 18시,129.1074595,35.15293824
5336,이태구태권도장,태권도,충남,서산시,충청남도 서산시 고운로 275-14,"상가3층 306호(동문동, 동문동 코아루아파트)",416699066,태권도,126.4642318,36.78706379
5337,상무석사태권도,태권도,충남,태안군,충남 태안군 태안읍 남문리278-15,,,태권도,126.2961532,36.75691014
5338,국술원도장,기타종목,충남,서산시,충남 서산시 대산읍 대산리,832 한미아파트 상가2층 국술원도장,416695369,운동학습+국술 종합반,126.4342247,36.94967864
5339,해동검도서산본관,검도,충남,서산시,충청남도 서산시 안견로 341,3층 해동검도 서산본관(읍내동),416674507,해동검도서산본관,126.445603,36.77734878
5340,용인대대명 태권도,태권도,충남,서산시,충청남도 서산시 서령로 110,(동문동)명성빌딩,416641646,생활체육 태권도,126.4598475,36.79092744
5341,장광재태권도,태권도,충남,서산시,충남 서산시 석남동 동서1로 160,1층 장광재태권도장,416640123,태권도수련,126.4531614,36.76698041
5342,연세대태권도장,태권도,충남,서산시,충남 서산시 석림동,475,416651727,태권도 기본동작 품새 겨루기 격파,126.4685163,36.7696113
5343,서산예천태권도장,태권도,충남,서산시,충청남도 서산시 예천1로 30,(예천동) 2층,416817006,태권도,126.4469729,36.76863318
5344,진희성 태권도,태권도,충남,서산시,충청남도 서산시 해미면 남문6로 4,"2층, 진희성 태권도",416880088,태권도,126.5433534,36.71397213
