CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
41,경기,41190,부천시,말과놀이아동발달센터,323236496,14544,경기도 부천시 길주로 86,705 말과놀이아동발달센터,3,기타종목,126.7519392,37.5052331,장애인강좌,,
41,경기,41130,성남시,내아이발달센터(분당점),7081933667,13595,경기도 성남시 분당구 백현로101번길 17,401~402호 내아이발달센터(분당점)(수내동),3,기타종목,127.1125099,37.3774801,장애인강좌,,
41,경기,41280,고양시,네오짐,318186194,10319,경기도 고양시 일산동구 약산길 2,부성빌딩 2층 202호(중산동),3,기타종목,126.792465,37.6792802,장애인강좌,,
41,경기,41210,광명시,네오키즈광명,28997763,14247,경기도 광명시 안현로 52,지하1층 수영장(하안동),12,수영,126.8774745,37.4655644,장애인강좌,,
41,경기,41270,안산시,네츄럴무브,314832848,15470,경기도 안산시 단원구 광덕3로 178,403호 네츄럴무브(고잔동),79,필라테스,126.8323498,37.3120538,장애인강좌,,
41,경기,41500,이천시,넥스트짐,,17387,경기도 이천시 마장면 오천로 93,호산프라자 6층,25,헬스,127.3567462,37.2497427,장애인강좌,,
41,경기,41130,성남시,노상혁FTC,7086117817,13558,경기도 성남시 분당구 정자일로 162,젤존타워2 604호(정자동),25,헬스,127.1063239,37.364614,장애인강좌,,
41,경기,41150,의정부시,녹양경기태권도,318556900,11610,경기도 의정부시 체육로 304,녹양프라자 7층 경기태권도(녹양동),22,태권도,127.0413705,37.7609825,장애인강좌,,
41,경기,41150,의정부시,녹양인성태권도,318290827,11608,경기도 의정부시 진등로 6,상승빌딩4층 인성태권도(녹양동),22,태권도,127.0328177,37.7585736,장애인강좌,,
41,경기,41480,파주시,놀잇다 사회적협동조합,319452018,10873,경기도 파주시 운정중앙로 200,"문화센터 내 놀잇다교육센터(목동동, 물향기마을 1단지 아파트)",3,기타종목,126.7257721,37.7282489,장애인강좌,,
41,경기,41630,양주시,농업회사법인주식회사한성승마클럽,318667272,11498,경기도 양주시 평화로 1141-11,한성승마클럽(산북동),71,승마,127.0470119,37.7914681,장애인강좌,,
41,경기,41360,남양주시,누누운동 탁구클럽,25919004,12171,경기도 남양주시 화도읍 먹갓로28번길 57,1층,21,탁구,127.2807706,37.6567002,장애인강좌,,
41,경기,41570,김포시,뉴라이프짐,,10079,경기도 김포시 초당로61번길 51,1층 뉴라이프짐(장기동),79,필라테스,126.6714555,37.6457701,장애인강좌,,
41,경기,41550,안성시,뉴유성볼링장,316182973,17548,경기도 안성시 공도읍 서동대로 4543,뉴유성볼링센터,10,볼링,127.206538,37.01054,장애인강좌,,
41,경기,41150,의정부시,바디붐휘트니스 (녹색거리점),28449679,11695,경기도 의정부시 태평로99번길 17,베스트프라자 3층 바디붐(의정부동),25,헬스,127.0506522,37.7411207,장애인강좌,,
41,경기,41590,화성시,뉴트럴필라테스 1동탄점,3180039698,18436,경기도 화성시 동탄공원로 36,3층(반송동),79,필라테스,127.0597088,37.202762,장애인강좌,,
41,경기,41130,성남시,뉴핏휘트니스,27146714,13612,경기도 성남시 분당구 정자로76번길 11,B1 뉴핏휘트니스(정자동),25,헬스,127.113526,37.3623633,장애인강좌,,
41,경기,41110,수원시,뉴힐링라이프 재활운동센터 수원점,3180017582,16484,경기도 수원시 팔달구 경수대로 534,"단지내 상가 102호 뉴힐링라이프  재활운동센터  수원점(인계동, 인계극동스타클래스)",3,기타종목,127.0296875,37.2732083,장애인강좌,,
41,경기,41270,안산시,뉴힐링라이프 재활운동센터 안산점,289547876,15508,경기도 안산시 상록구 도매시장로 63,3층 뉴힐링라이프 재활운동센터 안산점(이동),3,기타종목,126.8609693,37.3119431,장애인강좌,,
41,경기,41170,안양시,뉴힐링라이프 재활운동센터 안양,7086997876,14088,경기도 안양시 만안구 덕천로 34,(안양동) 명지e스페이스 5층 504호,25,헬스,126.9368208,37.384082,장애인강좌,,
41,경기,41220,평택시,뉴힐링라이프 재활운동센터 평택점,316580175,17902,경기도 평택시 평택5로34번길 96,201호(합정동),3,기타종목,127.1129457,36.9876211,장애인강좌,,
41,경기,41610,광주시,능평스포츠센터,317148540,12773,경기도 광주시 창뜰아랫길 14-3,능평스포츠센터(지하1층~지하4층)(능평동),12,수영,127.1667783,37.3489573,장애인강좌,,
41,경기,41220,평택시,다감필라테스,282933840,17808,경기도 평택시 청북읍 안청로2길 33-70,204호,79,필라테스,126.916466,37.0182902,장애인강좌,,
41,경기,41270,안산시,다농볼링장,314102215,15288,경기도 안산시 상록구 예술광장로 1,9층 다농볼링장(월피동),10,볼링,126.8442343,37.3283714,장애인강좌,,
41,경기,41570,김포시,다보람발달센터,,10086,경기도 김포시 김포한강3로 287,가동 202호(장기동),3,기타종목,126.6597786,37.6413772,장애인강좌,,
41,경기,41360,남양주시,다이노 클라이밍,,12285,경기도 남양주시 다산중앙로146번길 12-14,메트로타워 7층 다이노 클라이밍(다산동),111,클라이밍(암벽등반),127.1546684,37.6251905,장애인강좌,,
41,경기,41570,김포시,다짐,319845096,10126,경기도 김포시 고촌읍 장차로 1,범영빌딩3층 302호 다짐,25,헬스,126.769639,37.6025548,장애인강좌,,
41,경기,41280,고양시,다짐필라테스탄현점,319184222,10248,경기도 고양시 일산서구 탄현로 120,301호 다짐필라테스(탄현동),79,필라테스,126.7676707,37.7022224,장애인강좌,,
41,경기,41280,고양시,바른돌바둑학원,319028243,10417,경기도 고양시 일산동구 일산로 204,동신상가 3층 303호(마두동),3,기타종목,126.7903836,37.6546414,장애인강좌,,
41,경기,41410,군포시,당정탁구교실,,15851,경기도 군포시 고산로211번길 32,3층 당정탁구교실(당정동),21,탁구,126.9507453,37.3435129,장애인강좌,,
41,경기,41460,용인시,대지당구클럽,318971910,16880,경기도 용인시 수지구 현암로 160,예타운빌딩 6층(죽전동),3,기타종목,127.1269415,37.3314114,장애인강좌,,
41,경기,41170,안양시,대림고려태권도,314747844,13961,경기도 안양시 만안구 경수대로 1193,"석수대림상가210 호(석수동, 석수e-편한세상아파트)",22,태권도,126.9136329,37.4149705,장애인강좌,,
41,경기,41360,남양주시,대림키즈태권도,315281116,12136,경기도 남양주시 진건읍 진건오남로86번길 32,2층 대림키즈태권도,22,태권도,127.1811792,37.6583014,장애인강좌,,
41,경기,41220,평택시,비바당구클럽,316813949,17944,경기도 평택시 안중읍 현화중앙길 1,"3층, 303호",112,당구,126.9206806,36.978675,장애인강좌,,
41,경기,41570,김포시,대성검도관,319851248,10070,경기도 김포시 김포한강9로 40,보연그랑플라스2 2층(구래동),1,검도,126.6270892,37.6405195,장애인강좌,,
41,경기,41150,의정부시,대성태권도,318473883,11759,경기도 의정부시 금신로 376,선덕빌딩3층 우측(금오동),22,태권도,127.0579927,37.7484038,장애인강좌,,
41,경기,41310,구리시,대원합기도,315653341,11939,경기도 구리시 이문안로 32,3층 체육관(교문동),75,합기도,127.1348221,37.5918519,장애인강좌,,
41,경기,41110,수원시,대한검도 호매실검도관,312971230,16385,경기도 수원시 권선구 금곡로 100,칠보프라자 602호 호매실검도관(금곡동),1,검도,126.9412832,37.2738628,장애인강좌,,
41,경기,41280,고양시,더 그린 필라테스,,10507,경기도 고양시 덕양구 토당로 140,2층 더 그린 필라테스(토당동),79,필라테스,126.8191577,37.6268573,장애인강좌,,
41,경기,41550,안성시,더 베스트 안성태권도장,242181688,17587,경기도 안성시 금산2길 17,1층(금산동),22,태권도,127.2713194,37.012345,장애인강좌,,
41,경기,41570,김포시,더가꾸다필라테스 장기점평생교육원,,10089,경기도 김포시 태장로 800,7층 701호(장기동),79,필라테스,126.6784503,37.6380961,장애인강좌,,
41,경기,41610,광주시,더그라운드 볼링앤빌리어드,317613316,12797,경기도 광주시 양벌로215번길 7,2층 더그라운드 볼링앤빌리어드(양벌동),10,볼링,127.2545821,37.3776665,장애인강좌,,
41,경기,41280,고양시,더나은재활운동센터,,10546,경기도 고양시 덕양구 꽃마을로 66,310호311호(향동동),26,종합체육시설,126.8933501,37.6012623,장애인강좌,,
41,경기,41460,용인시,더리얼휘트니스,318970123,16824,경기도 용인시 수지구 고기로 115,3(동천동),25,헬스,127.0909004,37.3467254,장애인강좌,,
41,경기,41390,시흥시,더메이크 사회적협동조합 시흥지부,7075433285,14912,경기도 시흥시 비둘기공원6길 13-1,701호(대야동),3,기타종목,126.7914946,37.4422659,장애인강좌,,
41,경기,41170,안양시,더발레핏 스튜디오,,14067,경기도 안양시 동안구 시민대로 260,306호(관양동),77,무용(발레 등),126.959418,37.3935029,장애인강좌,,
41,경기,41390,시흥시,더밝은 사회서비스센터,,14995,경기도 시흥시 승지로 49,3층 더밝은사회서비스센터(능곡동),3,기타종목,126.8096061,37.3685789,장애인강좌,,
41,경기,41450,하남시,더샾요가 미사점,243301452,12913,경기도 하남시 미사강변동로 127,경서타워 809호(망월동),78,요가,127.191169,37.5658363,장애인강좌,,
41,경기,41480,파주시,더함 리햅,,10894,경기도 파주시 금바위로 42,9층 10호(와동동),79,필라테스,126.7600127,37.7283228,장애인강좌,,
41,경기,41190,부천시,더원 행동재활센터,322142004,14539,경기도 부천시 길주로 273,604호 더원(중동),3,기타종목,126.7728425,37.5039782,장애인강좌,,
41,경기,41590,화성시,더제이피트니스 향남1지구점,313520505,18600,경기도 화성시 향남읍 행정중앙2로 63-34,3층 더제이피트니스,25,헬스,126.9225346,37.13059,장애인강좌,,
41,경기,41190,부천시,더좋은gym&필라테스,323451110,14703,경기도 부천시 소사구 소사로 202,4층 더좋은짐엔 필라테스(소사본동),25,헬스,126.7957873,37.4761533,장애인강좌,,
41,경기,41460,용인시,더찬스짐,313337033,17033,경기도 용인시 처인구 모현읍 문현로 345,2층 더찬스짐,25,헬스,127.2460478,37.3374949,장애인강좌,,
41,경기,41480,파주시,더함필라테스,,10900,경기도 파주시 심학산로423번길 7-21,401호(목동동),79,필라테스,126.7372549,37.7188081,장애인강좌,,
41,경기,41480,파주시,더함필라테스 운정초롱꽃점,,10956,경기도 파주시 초롱꽃로 133-3,"7층, 701호(동패동)",79,필라테스,126.7187571,37.7125224,장애인강좌,,
41,경기,41390,시흥시,시흥어울림국민체육센터,313107876,15055,경기도 시흥시 정왕대로233번길 33,시흥어울림국민체육센터 1층 안내데스크(정왕동),12,수영,126.7410014,37.3484041,장애인강좌,,
41,경기,41630,양주시,덕정라온태권도장,318637111,11449,경기도 양주시 화합로1325번길 22-35,상가 3층 덕정라온태권도(덕정동),22,태권도,127.0632752,37.8484453,장애인강좌,,
41,경기,41360,남양주시,데빌김,25292344,12049,경기도 남양주시 오남읍 진건오남로 545-5,가동2층,25,헬스,127.2098665,37.6820339,장애인강좌,,
41,경기,41190,부천시,도담다담아동발달센터,,14548,경기도 부천시 원미구 중동로248번길 86,703호(중동),3,기타종목,126.7734997,37.5009261,장애인강좌,,
41,경기,41390,시흥시,도담댄스아카데미학원,,14986,경기도 시흥시 수풀안길 22,301호(조남동),7,댄스(줌바 등),126.8627829,37.3811837,장애인강좌,,
41,경기,41270,안산시,도담태권도,24086451,15540,경기도 안산시 상록구 샘골로 115,"201호 도담태권도(본오동, 굿모닝리빙프라자 I)",22,태권도,126.8626895,37.2941759,장애인강좌,,
41,경기,41190,부천시,도당태권도장,326825279,14483,경기도 부천시 삼작로 270,3층 도당태권도장(도당동),22,태권도,126.7914935,37.5200396,장애인강좌,,
41,경기,41550,안성시,동광태권도/특공무술 체육관,316711102,17597,경기도 안성시 서운로 791-11,동광아파트상가 3층 303호(중리동),22,태권도,127.2667055,36.980681,장애인강좌,,
41,경기,41150,의정부시,동그라미탁구교실,28770908,11729,경기도 의정부시 신곡로 45-20,4층(신곡동),21,탁구,127.0554172,37.7307991,장애인강좌,,
41,경기,41250,동두천시,동두천 반다비체육센터,318602894,11338,경기도 동두천시 상패로 56-31,반다비체육센터(상패동),3,기타종목,127.0481109,37.9063393,장애인강좌,,
41,경기,41460,용인시,동백탁구사관학교,312759846,17006,경기도 용인시 기흥구 동백3로11번길 18,502호(중동),21,탁구,127.1526165,37.2706227,장애인강좌,,
41,경기,41130,성남시,드래곤짐,,13403,경기도 성남시 중원구 둔촌대로 388,1층 128호(상대원동),25,헬스,127.1592797,37.432633,장애인강좌,,
41,경기,41220,평택시,동삭언어심리연구소,26555767,17841,경기도 평택시 동삭1로22번길 19-21,동삭프라자 204호 동삭언어심리연구소(동삭동),3,기타종목,127.0932609,37.0208985,장애인강좌,,
41,경기,41360,남양주시,동서울승마장,315217767,12203,경기도 남양주시 와부읍 월문천로 280-7,동서울승마장,71,승마,127.2423361,37.5988742,장애인강좌,,
41,경기,41130,성남시,동성태권도장,317533256,13304,경기도 성남시 수정구 탄리로 79,2층(태평동),22,태권도,127.1356147,37.4430072,장애인강좌,,
41,경기,41460,용인시,동양킥복싱GYM,313069455,16970,경기도 용인시 기흥구 신구로12번길 9,3층 동양킥복싱GYM(구갈동),76,복싱,127.110361,37.2735849,장애인강좌,,
41,경기,41590,화성시,동탄센텀탁구장,313779720,18487,경기도 화성시 동탄기흥로 147-13,센터프라자305호(방교동),21,탁구,127.0902362,37.1728592,장애인강좌,,
41,경기,41550,안성시,동현스포츠센터,316749814,17568,경기도 안성시 남파로 75,3층(당왕동),25,헬스,127.2583781,37.0167484,장애인강좌,,
41,경기,41130,성남시,두드림감각운동발달센터,,13508,경기도 성남시 분당구 야탑로 243,부건프라자 4층 두드림(야탑동),3,기타종목,127.1455273,37.4073826,장애인강좌,,
41,경기,41250,동두천시,두드림탁구클럽,,11350,경기도 동두천시 중앙로 116,7층 703호(지행동),21,탁구,127.052518,37.8917688,장애인강좌,,
41,경기,41280,고양시,드림에듀지점,,10333,경기도 고양시 일산동구 중산로 234,승산빌딩5층(중산동),25,헬스,126.7807062,37.6928456,장애인강좌,,
41,경기,41130,성남시,드림온평생교육원,317094560,13590,경기도 성남시 분당구 서현로 170,"326호(서현동, 풍림아이원플러스)",79,필라테스,127.1225147,37.3889964,장애인강좌,,
41,경기,41550,안성시,드림점핑,,17564,경기도 안성시 공도읍 진사길 11,3층 드림점핑,3,기타종목,127.1384715,36.9929072,장애인강좌,,
41,경기,41150,의정부시,드림탁구클럽,318365466,11705,경기도 의정부시 평화로 303,3층 드림탁구클럽(호원동),21,탁구,127.0470782,37.7190441,장애인강좌,,
41,경기,41590,화성시,드림태권도,,18517,경기도 화성시 정남면 만년로 442-10,2층 드림태권도,22,태권도,126.9825821,37.1613892,장애인강좌,,
41,경기,41310,구리시,드림히어로즈 태권도장,315910201,11901,경기도 구리시 갈매순환로 194,5층 드림히어로즈 태권도장(갈매동),22,태권도,127.1217995,37.6366379,장애인강좌,,
41,경기,41450,하남시,디딤터,,12902,경기도 하남시 미사강변한강로 135,스카이폴리스 나동 601호 디딤터 재활운동센터(망월동),3,기타종목,127.1917806,37.5766518,장애인강좌,,
