FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
(주)제이원스파랜드 월성점,27,대구,27290,달서구,536368896,2.72903E+11,대구광역시 달서구 월성로 42센트로밸리 휘트니스타 4층(월성동),128.530761,35.8316166,라마930599
(주)젠요가 위례지점,41,경기,41130,성남시,317579642,4.11313E+11,경기도 성남시 수정구 위례광장로 300위례중앙타워 9층 904호(창곡동),127.1427026,37.4734648,다사684416
(주)청라라파언어심리센터,28,인천,28260,서구,325677756,2.82604E+11,"인천광역시 서구 청라에메랄드로102번길 103층 305,306,308,309호(청라동)",126.6574605,37.5339273,다사255486
(주)파랑새발달클리닉,27,대구,27260,수성구,537540119,2.72603E+11,대구광역시 수성구 범어천로 186304호(범어동),128.6211637,35.8632515,마마012635
(주)하루하루움직임연구소,26,부산,26350,해운대구,517461152,2.63503E+11,부산광역시 해운대구 마린시티2로 21907호(우동),129.1442096,35.15934,마라497861
(주)한국그룹운동개발원,11,서울,11710,송파구,263698004,1.17103E+11,서울특별시 송파구 송이로 91(가락동) 송이빌딩 5층,127.1209697,37.498076,다사664443
(주)한국스포츠산업개발원,27,대구,27290,달서구,536220095,2.72903E+11,대구광역시 달서구 학산로 17지하1층(월성동),128.531097,35.8275367,라마931594
(주식회사)박재현재활운동센터,11,서울,11350,노원구,218118861,1.13503E+11,"서울특별시 노원구 동일로 986102동 2층 213호(공릉동, 노원 프레미어스 엠코)",127.076212,37.618481,다사626577
(푸른)현무태권도장,41,경기,41610,광주시,,4.16104E+11,경기도 광주시 경충대로1461번길 263층(쌍령동),127.2702267,37.3998729,다사796334
1.3.4리듬복싱 상무본점,29,광주,29140,서구,23751342,2.91403E+11,광주광역시 서구 운천로 131금호(쌍촌동),126.8569473,35.1444859,다라414834
1004당구클럽,26,부산,26350,해운대구,267751594,2.63503E+11,부산광역시 해운대구 좌동순환로 114층 1004 당구클럽(중동),129.1670042,35.1675204,마라518870
123당구클럽,41,경기,41460,용인시,318971230,4.14653E+11,경기도 용인시 수지구 성복2로 174층 123당구클럽(성복동),127.0810234,37.3107116,다사628236
123필라테스,41,경기,41360,남양주시,315591239,4.13605E+11,경기도 남양주시 호평로45번길 28리더프라자 3층 123필라테스(호평동),127.2462077,37.6581815,다사776621
153합기도,28,인천,28260,서구,325670153,2.82604E+11,인천광역시 서구 승학로495번길 4-1인천시 서구 검암동 597-1 다복프라자3층301호(검암동),126.6749532,37.5659971,다사271521
1박2일가브리엘당구클럽,41,경기,41390,시흥시,,4.13903E+11,경기도 시흥시 월곶중앙로 64(월곶동)풍산프라자 3층,126.7385216,37.389193,다사325325
1박2일당구장,41,경기,41390,시흥시,239978557,4.13904E+11,경기도 시흥시 월곶중앙로14번길 64경기 시흥시월곶중앙로64풍산프라자 3층 302호303호(월곶동),126.741924,37.3924194,다사328328
21세기체대태권스쿨,28,인천,28170,미추홀구,328628557,2.81774E+11,인천광역시 미추홀구 한나루로501번길 263층  21세기체대태권스쿨(용현동),126.6658947,37.4522339,다사262395
21세기태권도,41,경기,41270,안산시,,4.12713E+11,경기도 안산시 상록구 부곡로 642층 21세기태권도(부곡동),126.8607181,37.3280176,다사433256
237탁구클럽,41,경기,41310,구리시,315680700,4.13104E+11,경기도 구리시 체육관로74번길 27지하(수택동),127.1396319,37.5913506,다사681547
24Fit & 점핑다이어트,48,경남,48330,양산시,553847577,4.83305E+11,경상남도 양산시 동면 금오13길 4네오스퀘어 202호 점핑다이어트,129.025635,35.3161516,마마386033
24시 달려라휘트니스 용봉점 헬스 PT,29,광주,29170,북구,,2.91703E+11,"광주광역시 북구 용봉택지로 512층, 달려라 휘트니스(용봉동)",126.8920539,35.1787693,다라446872
24시 참짐별관,48,경남,48250,김해시,,4.82503E+11,경상남도 김해시 가야로 1663층 24시 참짐별관(삼계동),128.8714533,35.2627285,마라247972
24시달려라휘트니스상무지구점헬스 PT,29,광주,29140,서구,,2.91403E+11,광주광역시 서구 상무시민로 965층 달려라휘트니스 상무지구점(치평동),126.8494772,35.1549855,다라407846
2JCM필라테스,41,경기,41110,수원시,312179676,4.11134E+11,경기도 수원시 권선구 세권로108번길 42지하 JCM(세류동),127.0150818,37.2559379,다사569175
3.3바디랩,41,경기,41220,평택시,,4.12203E+11,경기도 평택시 지산로 1102층(지산동),127.0671513,37.0809877,다바615981
30분 근력운동 커브스,29,광주,29200,광산구,629729330,2.92003E+11,광주광역시 광산구 첨단중앙로 96LC타워 401-1호(월계동),126.8434664,35.2138336,다라402911
365건강드림운동센터,48,경남,48170,진주시,,4.81703E+11,"경상남도 진주시 진성면 동부로 13162층 201호, 202호",128.2245458,35.183615,라라659878
365배드민턴 센터,27,대구,27140,동구,539630365,2.71403E+11,대구광역시 동구 화랑로 528365배드민턴 센터 3층(용계동),128.6816422,35.8745177,마마066648
365배드민턴전용구장,44,충남,44250,계룡시,7041561001,4.42503E+11,충청남도 계룡시 금암로 24365배드민턴전용구장(금암동),127.2462194,36.2808819,다바772093
365탁구클럽,11,서울,11560,영등포구,226373729,1.15603E+11,서울특별시 영등포구 선유로 115(양평동1가),126.8901485,37.5243217,다사461473
3949당구장,11,서울,11590,동작구,,1.15904E+11,"서울특별시 동작구 보라매로5가길 16지하1층 3호(신대방동, 보라매아카데미타워)",126.924075,37.4913263,다사490437
419당구장,11,서울,11305,강북구,7075371552,1.13054E+11,서울특별시 강북구 4.19로11길 73층 419당구장(수유동),127.0083169,37.6461189,다사566608
4차원균형다이어트요가원(여천점),46,전남,46130,여수시,26829300,4.61303E+11,"전라남도 여수시 망마로 405층, 4차원균형다이어트요가원(학동)",127.66705,34.7592841,라라152405
5310복싱클럽,44,충남,44825,태안군,,4.48255E+11,충청남도 태안군 태안읍 동문1길 705310복싱클럽,126.3050906,36.7491836,나바933619
573스위밍풀,29,광주,29155,남구,626555731,2.91554E+11,광주광역시 남구 효천길 31층(임암동),126.8782049,35.1024893,다라433787
6849600456,41,경기,41590,화성시,3180030208,4.15902E+11,경기도 화성시 동탄순환대로 617범환프라자 지하1층 아이누리 수영장(청계동),127.1147414,37.2007437,다사658113
88복싱장,41,경기,41220,평택시,,4.12204E+11,경기도 평택시 포승읍 여술로43번길 18201.202호 88복싱장(포승삼부르네상스2단지),126.8475483,36.9907749,다바419882
ABC운동발달센터,28,인천,28170,미추홀구,327198191,2.81773E+11,"인천광역시 미추홀구 소성로 188302호, ABC운동발달센터(학익동)",126.6688339,37.4408621,다사264382
AD기구필라테스,44,충남,44200,아산시,415313017,4.42003E+11,충청남도 아산시 배방읍 용연로 156-142층 AD기구필라테스,127.0925377,36.7828716,다바636650
AJ스파휘트니스,48,경남,48170,진주시,557617112,4.81703E+11,"경상남도 진주시 동진로 22아주스타타워 6,7층(칠암동)",128.0936391,35.1785237,라라540871
AWESOME스포츠아카데미,41,경기,41130,성남시,317167767,4.11353E+11,경기도 성남시 분당구 백현로 978층 801호 어썸스포츠아카데미(수내동),127.1114019,37.3768278,다사655309
AY-GYM,41,경기,41170,안양시,313884855,4.11734E+11,경기도 안양시 동안구 평촌대로227번길 48승진빌딩 지하1층(호계동),126.9528098,37.3910978,다사515325
A미코스텔라 인라인클럽(인라인강습),31,울산,31140,남구,,3.11404E+11,울산광역시 남구 신복로72번길 28-236층,129.2550625,35.5525735,마마590299
BLSO 복싱 아카데미,31,울산,31200,북구,522872611,3.12003E+11,울산광역시 북구 상방로 1473층 임의택복싱짐(연암동),129.366187,35.5839387,마마690335
BMP복싱,41,경기,41570,김포시,319861842,4.15704E+11,경기도 김포시 통진읍 조강로36번길 63층 BMP복싱,126.6015387,37.6896265,다사207659
CBS 기독교방송 (종합문화센터),11,서울,11470,양천구,226507034,1.14703E+11,서울특별시 양천구 목동서로 159-1CBS기독교방송 9층(목동),126.8748763,37.5283079,다사447478
